submission_number,decision_date,band,url_tried,http_status,pages,chars_total,chars_per_page,classification,predicate_sentence_found,predicate_knumbers,cybersecurity_heading,pccp_heading,notes
K210209,2021-03-23,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210209.pdf,200,9,16059,"[2416,1647,2416,1099,2546,2020,1052,1185,1678]",text,yes,K193658,no,no,
K210719,2021-07-20,2019-2021,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K210719.pdf,200,10,14800,"[2345,1723,1687,190,1393,1875,1300,1674,1820,793]",text,yes,K061214,yes,no,
K213779,2022-03-16,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213779.pdf,200,6,9690,"[2152,1902,1665,1469,1683,819]",text,yes,K210556,no,no,
K220192,2022-04-08,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220192.pdf,200,10,16607,"[2318,1809,9,1069,1387,2620,2411,2035,2467,482]",mixed,yes,K212056;K213305;K193140;K203553,no,no,cover letter/IFU text + some scanned pages
K220499,2022-05-17,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220499.pdf,200,11,18737,"[2421,1680,2346,1389,2847,2301,1570,2023,1108,828,224]",text,yes,K190072,no,no,
K221680,2023-03-01,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221680.pdf,200,11,21425,"[2072,2049,305,3553,955,1060,2614,2474,2516,1743,2084]",text,yes,K201103;K163687;K153355;K210173,no,no,
K221727,2022-07-13,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221727.pdf,200,8,13917,"[2244,1813,1838,979,1932,2209,2340,562]",text,yes,K214019,no,no,
K230112,2023-06-13,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230112.pdf,200,9,13214,"[2289,1757,908,708,2670,1266,185,2909,522]",text,yes,K210085,no,no,
K230197,2023-02-22,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230197.pdf,200,10,14144,"[1899,2220,11,766,1769,1775,1764,1368,1869,703]",mixed,yes,K221762,no,no,cover letter/IFU text + some scanned pages
K230812,2023-08-23,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230812.pdf,200,13,25493,"[2150,1944,1595,1326,1825,2496,2373,1876,2562,2644,813,2463,1426]",text,yes,K201456,no,no,
K232045,2023-10-27,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232045.pdf,200,17,38260,"[2230,2699,2876,2600,559,1496,2494,2241,2532,2507,3062,3035,1986,2330,2204,2488,921]",text,yes,K133643;K173420;K193562,no,no,
K232712,2023-10-03,2022-2023,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232712.pdf,200,9,16705,"[2219,2675,2411,1020,2176,1583,2112,1783,726]",text,yes,K223325;K173578;K223028,yes,no,
K231855,2024-02-13,2024,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K231855.pdf,200,14,19937,"[2316,2514,2142,735,1966,1426,685,805,810,935,1875,1421,1027,1280]",text,yes,K191928,yes,no,
K233728,2024-01-19,2024,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233728.pdf,200,10,14632,"[2265,2676,1187,810,891,1740,1248,1413,1527,875]",text,yes,K192426;K223439;K213668,no,no,
K233998,2024-09-05,2024,https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233998.pdf,200,17,29756,"[1058,1808,3323,499,3185,922,762,2079,2487,2228,1542,2417,2008,1397,1341,1551,1149]",text,yes,K173444;K071964,no,no,
